,logFC,PValue,FDR
ENSSSCG00000049239,3.66837815640395,5.56304123417548e-05,0.00304480291449133
ENSSSCG00000000873,-3.6801481844577,5.88176112314757e-05,0.00320915524603083
ENSSSCG00000016286,-7.67485857573284,5.92932486936218e-05,0.00321495013555292
ENSSSCG00000015082,-7.67485857573284,5.92932486936218e-05,0.00321495013555292
ENSSSCG00000000443,-3.76998967299094,6.26403448951011e-05,0.00338588572328955
ENSSSCG00000022430,3.62408988831687,6.30236573371578e-05,0.00339605806796666
ENSSSCG00000008488,3.63334171090674,6.36533158023189e-05,0.00341940111586223
ENSSSCG00000020785,-3.6230158779846,6.39010851338269e-05,0.00342214888232079
ENSSSCG00000014438,7.49305355393176,6.65269139301834e-05,0.00351945573542505
ENSSSCG00000016314,7.49305355393176,6.65269139301834e-05,0.00351945573542505
ENSSSCG00000031723,7.49305355393176,6.65269139301834e-05,0.00351945573542505
ENSSSCG00000057650,7.49305355393176,6.65269139301834e-05,0.00351945573542505
ENSSSCG00000017873,3.61130848250019,6.85889795452297e-05,0.00361754905752946
ENSSSCG00000016233,-3.60034931509807,6.881768872574e-05,0.00361864613979307
ENSSSCG00000032240,-4.67189097185584,6.93826532040886e-05,0.00363736469583482
ENSSSCG00000003431,-7.6206823091185,7.08241898479305e-05,0.00365784873680484
ENSSSCG00000031537,-7.6206823091185,7.08241898479305e-05,0.00365784873680484
ENSSSCG00000055313,-7.6206823091185,7.08241898479305e-05,0.00365784873680484
ENSSSCG00000028758,-7.6206823091185,7.08241898479305e-05,0.00365784873680484
ENSSSCG00000060830,-7.6206823091185,7.08241898479305e-05,0.00365784873680484
ENSSSCG00000031031,3.81259026655805,7.11641540074915e-05,0.00366453284171713
ENSSSCG00000036824,3.5918178439344,7.20065682313958e-05,0.00369697439547918
