genes	endo03	endo06	endo09	ovary03	ovary06	ovary09	ovid03	ovid06	ovid09
ENSSSCG00000008957	-1.27976119291591	-7.19795791830137	-7.03957079161964	-0.927677006621069	1.07313956465039	-0.479008417264981	0	0.280199163130333	0.910388406837473
ENSSSCG00000008976	0	0	0	0	0	0	7.27270236099946	4.74172840122147	3.57256365010556
ENSSSCG00000008985	0.347556155784023	0.972524237586435	1.61074887543558	-3.54956706456072	-1.97145254130485	-9.52084413238555	0.147390779073025	0.856014056564763	0.765897401041007
ENSSSCG00000009100	-1.10533164157673	-5.61868034166325	-3.92950582791153	0.895981118242886	1.60687264511176	0.776291277228054	-1.39618032752516	1.03928940897327	0.784128053497705
ENSSSCG00000009144	0	0	7.68872679809105	0	0	0	1.92126711647435	1.25387161389658	0
ENSSSCG00000009219	0	0	0	7.40179587830715	4.27747032285333	8.31953859914369	0.0402301312479031	0	2.27106958615802
ENSSSCG00000009237	-0.815749222936328	-1.43532333489665	-2.84054333362984	1.22316870309082	5.4713344118506	5.40162728222595	0.43605194683461	-0.284162061109108	-0.072249322943444
ENSSSCG00000009250	-0.550329247549243	-1.28134997446678	-2.10143595065129	-7.73042320229519	-3.55219691103629	-0.855927387773023	-3.85779456753784	-2.83602215378545	-2.11439335299496
ENSSSCG00000009281	-0.974150172425657	0.966999331105372	0.969412643321993	-0.322856912961854	1.8370406690258	1.77738035202767	-3.48780530435521	-2.66586949863928	-7.54873067267561
ENSSSCG00000009336	-0.00590765989624938	-0.840530379809395	-0.809843710141967	-3.78393717012167	-5.33412489154347	-6.92687913780602	-0.644815058383988	-0.533923761064674	-1.38294694246447
ENSSSCG00000009413	-1.21259564136574	-1.11712941665968	-7.24082634741084	0	0	0	-4.1338402015024	-2.39575162628229	-2.21556864598094
ENSSSCG00000009444	-3.42453669092377	-10.5203129281583	-10.4417474461448	0	0	0	-4.88931335134194	-6.1641004607505	-6.55624299515479
ENSSSCG00000009496	3.65749914959144	0	3.273732775863	0	0	0	2.48339758677413	6.0240173760416	3.4108246151138
ENSSSCG00000009517	-0.125150499494863	5.77921224518382	2.14877735855221	3.35428216618415	5.03799044065892	3.08592414205093	-0.876752961754923	1.36718972391456	1.73402229232125
ENSSSCG00000009543	0	0	0	0	0	0	-9.4338205099274	-3.59984687399959	-2.13452260939202
ENSSSCG00000009564	-1.87579475980107	-9.14025494204196	-9.06177763385159	0	0	0	-2.00936037594458	-1.47940380114882	-0.235193428906127
ENSSSCG00000009580	-1.95785841913251	-0.859843921210179	-1.70426755955919	-1.24918902880141	-1.54993328336774	-0.68002169865371	-5.43297220908378	-2.87188005129736	-3.21498156972067
ENSSSCG00000009631	1.16319927044051	0.57209121937605	0.661043765493396	-1.74151873695104	-8.16585342001694	-3.69432246969053	-2.25589995666645	-4.99867518866215	-3.49311776993583
ENSSSCG00000009646	-0.752461139010818	-1.84596897250064	-2.06480251475411	-0.952080610747656	0.771558028204812	0.579354226740082	-5.43085534288034	-8.62433891300593	-2.46350472387369
ENSSSCG00000009648	0	0	0	-0.102683746179071	2.60114331041713	2.97515562661608	-5.85492403639534	-4.46419754603255	-4.94636872477474
ENSSSCG00000009649	0	0	0	-6.04996346020976	0.52671204783413	0.881946420092983	0	0	0
ENSSSCG00000009667	-3.5801659069764	-2.1229402970759	-3.49260852097043	4.78381531012388	6.70998695139487	4.3890328653568	-1.57202283450023	0.798542793315773	0.553553169026147
ENSSSCG00000009699	4.0198233971945	8.34185554944876	8.64665450898464	0.0173194112058929	0.397051799171189	1.97651147935399	0.706211913935824	1.55707181466468	2.5697739381375
ENSSSCG00000009708	0	0	0	0	0	0	-7.45724402176672	-3.552540118868	-1.08256578793585
ENSSSCG00000009738	2.77562762136487	2.71473999192062	0.0685474133715901	-2.80929814257355	-1.81264710002632	-1.26157373461384	8.81192619880973	8.39975541702208	8.61311810221629
ENSSSCG00000009855	-1.19045130341403	-4.53072825898282	-4.40613884664134	-3.60602522082215	-3.76651829471121	-5.40833482239708	-3.30584710065206	0.452562655064621	0.40815480480715
ENSSSCG00000009856	-0.639133254740998	-5.66837268945624	-1.65390403251827	-3.69564909697205	-2.70928208337549	-2.40583661032348	-2.22915336797945	-0.123547346682748	0.133097893688111
ENSSSCG00000009927	2.1723526855617	2.24898918340775	2.7095620793634	5.01030558755347	4.63004143832745	4.63124994191158	-0.179062215501649	-0.0214864904139703	-0.507616392747559
