genes,Min_FDR,Max_abs_logFC
ENSSSCG00000010325,2.75552561922257e-09,8.26318270292443
ENSSSCG00000016183,3.13932826203326e-09,8.41194344209638
ENSSSCG00000004181,3.30676627688797e-09,7.8781587359345
ENSSSCG00000009738,3.37772457706433e-09,8.95140312848827
ENSSSCG00000050351,3.40511874328121e-09,7.84271860388143
ENSSSCG00000029879,3.45187163951011e-09,9.03437293125655
ENSSSCG00000026849,3.54668372325758e-09,12.1534250583826
ENSSSCG00000047459,3.88134642063004e-09,11.9347616554536
ENSSSCG00000033815,3.99446312314812e-09,11.6129152486395
ENSSSCG00000003053,4.01950750217851e-09,8.938282210735
ENSSSCG00000003484,4.09230736634777e-09,11.8127550563131
ENSSSCG00000026156,4.18154882384611e-09,11.8899512827512
ENSSSCG00000033181,4.58783876991394e-09,11.6707038930059
ENSSSCG00000052947,4.75333737861452e-09,7.40130791835383
ENSSSCG00000017251,5.52324609015588e-09,11.8154727968264
ENSSSCG00000017262,5.91046037102707e-09,7.65209608693046
ENSSSCG00000035724,5.91046037102707e-09,7.50106797715604
ENSSSCG00000008953,6.53756524720327e-09,8.4637886659221
ENSSSCG00000026407,6.73707456414982e-09,7.6260226512603
ENSSSCG00000015655,7.20811922970014e-09,8.10326421728143
ENSSSCG00000022269,7.33973964627575e-09,11.4026829793399
ENSSSCG00000056685,7.34527431614992e-09,7.69548666190032
ENSSSCG00000005222,7.86443980591033e-09,7.51558643304628
ENSSSCG00000004678,8.39945555353415e-09,7.26713465014684
ENSSSCG00000024416,8.60560739194757e-09,7.87140155939338
ENSSSCG00000035760,9.2310355776094e-09,7.44229829871443
ENSSSCG00000052744,9.45757802665369e-09,7.64884566318125
ENSSSCG00000004839,9.9087647887058e-09,7.68592093928272
ENSSSCG00000058051,1.03192400468471e-08,11.5677168220765
ENSSSCG00000033806,1.05690251976382e-08,7.41404563011084
ENSSSCG00000039341,1.29962801533797e-08,8.59675674049526
ENSSSCG00000000211,1.29962801533797e-08,8.07984487655628
ENSSSCG00000028997,1.29962801533797e-08,7.70443406142601
ENSSSCG00000014257,1.32599938169992e-08,7.29176326317149
ENSSSCG00000006051,1.39146264356149e-08,7.33526361831157
ENSSSCG00000032797,1.40386090666158e-08,7.54291362476307
ENSSSCG00000014985,1.44223288814591e-08,8.46620963480814
ENSSSCG00000038929,1.49680764075681e-08,7.11285625794579
ENSSSCG00000048484,1.54297890659146e-08,11.7773709014529
ENSSSCG00000060874,1.61645176260783e-08,7.34912105480306
ENSSSCG00000005504,1.67479635467137e-08,8.24214400221641
ENSSSCG00000020927,1.68473919197778e-08,7.7853768018522
ENSSSCG00000035102,1.70078773171016e-08,7.91773466469988
ENSSSCG00000004679,1.93405518264968e-08,7.03506821983351
ENSSSCG00000008607,1.99797145035971e-08,8.16444446785371
ENSSSCG00000002450,2.08459503777852e-08,7.33606055217769
ENSSSCG00000028691,2.17703129869329e-08,8.52848576781123
ENSSSCG00000015342,2.29746932438196e-08,7.49704029860108
ENSSSCG00000005938,2.35792708692413e-08,11.3481828393319
ENSSSCG00000058266,2.39411891100484e-08,8.11010611451163
ENSSSCG00000013102,2.39411891100484e-08,7.179023927834
ENSSSCG00000039651,2.39411891100484e-08,7.11171120537447
ENSSSCG00000035347,2.60456268209483e-08,7.53961027430366
ENSSSCG00000015515,2.68114614749324e-08,11.3544813197706
ENSSSCG00000016239,2.77174379927075e-08,8.06456782923066
ENSSSCG00000015268,2.90304006698482e-08,7.19549174470971
ENSSSCG00000021204,2.97757537375731e-08,7.7178607318649
ENSSSCG00000027365,2.98365763725531e-08,7.21462789909136
ENSSSCG00000013976,3.01126289339801e-08,10.1038148436274
ENSSSCG00000039416,3.01126289339801e-08,7.17643334953902
ENSSSCG00000004874,3.06878243315338e-08,8.2622951809488
ENSSSCG00000011039,3.21849108194511e-08,11.1726491438428
ENSSSCG00000011904,3.21849108194511e-08,7.19080747581287
ENSSSCG00000027404,3.24537157236883e-08,7.17739710578305
ENSSSCG00000017923,3.24537157236883e-08,7.11007653087991
ENSSSCG00000002262,3.34302530566459e-08,7.6728724380482
