,logFC.groupovary,logFC.groupovid,PValue,FDR
ENSSSCG00000062085,-2.9596017176642,2.71738966796235,1.4598209590254e-57,2.95597523969765e-55
ENSSSCG00000012638,6.41877159216372,2.54010330275807,1.91067139518055e-57,3.82638192371103e-55
ENSSSCG00000000679,-4.17982681930285,2.23068112730168,1.98778188261269e-57,3.93753663355801e-55
ENSSSCG00000021105,-2.83146403175374,3.11169678102137,3.30697712280534e-57,6.48025280494673e-55
ENSSSCG00000007935,-1.99459009413562,2.14883299706693,4.14142701226077e-57,8.02908147568514e-55
ENSSSCG00000027407,-5.91088205488767,-0.413746749377408,5.91531078331814e-57,1.13474340752831e-54
ENSSSCG00000005952,-3.12516367173125,2.56730083261358,6.07895848890898e-57,1.15398895314455e-54
ENSSSCG00000000021,-4.14500624655512,-0.0831215643505173,1.22770324723914e-56,2.30656329666866e-54
ENSSSCG00000043030,0.48145278376703,6.69291330597363,2.26982898258579e-56,4.22095544680035e-54
ENSSSCG00000016133,-4.48516866439043,2.29203507426956,2.80580333114972e-56,5.16494544513863e-54
ENSSSCG00000002504,-4.25249456483032,2.52043794360422,3.32385785319102e-56,6.05739855165532e-54
ENSSSCG00000016705,-6.63408324629393,-0.238150828632965,4.44736998987661e-56,8.02464066292192e-54
ENSSSCG00000010100,-1.98822047919823,2.55224399524865,5.29789966684321e-56,9.4655807380932e-54
ENSSSCG00000005588,8.28440588997768,1.86465180686842,5.59855817674029e-56,9.90564312746748e-54
ENSSSCG00000010379,-4.92084231481473,3.09994385266378,9.94537035111413e-56,1.74273489691061e-53
ENSSSCG00000016105,-2.58340124376783,3.05254676067494,1.02384922582256e-55,1.77701221822765e-53
ENSSSCG00000017609,-4.5223550775411,2.48821705232894,1.22835584849025e-55,2.1118449983855e-53
ENSSSCG00000056371,-1.85795732653606,1.82916340258871,1.44909416377079e-55,2.46806467668774e-53
ENSSSCG00000054179,-6.55975230027433,0.511559448482568,1.76686707593459e-55,2.9814245918363e-53
ENSSSCG00000035928,-7.06399135170156,-0.183949593898805,2.26605880799838e-55,3.7886840107305e-53
ENSSSCG00000039821,5.35182247902287,1.07463482584643,3.26313636005107e-55,5.40612700232462e-53
ENSSSCG00000030206,-3.57249449604333,2.42591718939235,4.32559013503764e-55,7.10176167756089e-53
ENSSSCG00000058399,-3.04366292072197,3.44219806139597,4.53852717086326e-55,7.38483206801894e-53
ENSSSCG00000012394,-4.22407856687301,3.18290182135176,5.04796980553904e-55,8.14107979965872e-53
ENSSSCG00000017520,-4.32704013413515,2.14197423393392,6.56849762678792e-55,1.05003772588231e-52
ENSSSCG00000050857,-2.36467134709491,5.59849253604758,9.6853655686832e-55,1.53483567064072e-52
ENSSSCG00000009796,-4.14624624655448,3.05287144279321,1.45503094999131e-54,2.28590379591738e-52
ENSSSCG00000009875,-2.60403406368685,2.89673860792725,2.3700226733069e-54,3.69156352122606e-52
ENSSSCG00000003733,-6.77203923949861,0.372248624564941,2.95318260429674e-54,4.56091523565286e-52
ENSSSCG00000011391,-2.53343507620021,3.10555973161494,3.87021882100184e-54,5.92696368016282e-52
ENSSSCG00000036261,-2.26528957439895,3.01221983723276,3.98623439260603e-54,6.05376129757103e-52
ENSSSCG00000022014,-4.42248777854681,2.31766809002402,4.32070563174356e-54,6.50748259775989e-52
ENSSSCG00000012001,4.496109346099,0.109059314110474,9.31017145093802e-54,1.39072593870405e-51
ENSSSCG00000011855,-3.22197699684158,2.59303725049503,1.76457822089074e-53,2.61444499979779e-51
ENSSSCG00000044760,-3.27968872083779,2.70554786474771,3.41892525756237e-53,5.02471724950134e-51
ENSSSCG00000024223,-6.07535061785721,-0.209883014808966,4.43284137502667e-53,6.44025264489697e-51
ENSSSCG00000021343,2.97846262888716,-0.780005936394321,4.4527646688818e-53,6.44025264489697e-51
ENSSSCG00000031959,-3.08354809042002,2.56587081155504,5.18023273438962e-53,7.43343002767845e-51
ENSSSCG00000033412,-6.93929143140488,-1.85095983890296,6.5585345410409e-53,9.33771355280698e-51
ENSSSCG00000006969,-3.95754395976425,1.17427460608837,6.95761781836046e-53,9.82911838153497e-51
ENSSSCG00000033043,-3.79194313124525,0.791303771092193,1.70112423631593e-52,2.38471446789396e-50
ENSSSCG00000011217,-3.75889431970079,2.41075361937685,2.13021838877552e-52,2.96344274175917e-50
ENSSSCG00000016321,-5.10179551471337,2.1332991352822,3.83820494320611e-52,5.29776594973417e-50
ENSSSCG00000007236,-4.88322732091088,2.54494515520008,3.86634586981258e-52,5.29776594973417e-50
ENSSSCG00000025423,-4.65209901595509,-4.82113931374986,5.70243657993648e-52,7.75531374871361e-50
ENSSSCG00000022705,-4.09081844442804,-2.5264968875208,5.97894492057744e-52,8.07113275797062e-50
ENSSSCG00000028085,-2.06842311941972,2.98970093022351,6.63736713622403e-52,8.8940719625402e-50
ENSSSCG00000050615,-3.18306660970473,2.78466918242402,8.65107027038412e-52,1.15078178545606e-49
ENSSSCG00000017158,-3.84317822061901,2.52271007469931,1.06126486100385e-51,1.40148484253146e-49
ENSSSCG00000005727,-5.49940420464457,2.51066529043734,1.47253933523262e-51,1.93061560037981e-49
ENSSSCG00000056696,-1.75231091676181,1.69115288383444,1.64601491858857e-51,2.13843937904666e-49
ENSSSCG00000012484,2.36608739865384,-0.156353212549453,1.65452124915265e-51,2.13843937904666e-49
ENSSSCG00000032929,-1.26379445721209,2.23758943003916,1.73694943269755e-51,2.22916665221692e-49
ENSSSCG00000012547,-1.29961595223528,4.97007092888012,1.98095326967507e-51,2.52453792912996e-49
